29, Local-government, 122000, Some-college, 10, Never-married, Sales, Not-in-family, White, F, 0, 0, 60, United-States, 0
37, Private, 223020, Assoc-voc, 11, Never-married, Other-service, Unmarried, Black, M, 0, 0, 32, United-States, 0
24, Local-government, 65743, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, M, 0, 0, 30, United-States, 0
17, Local-government, 206506, 10th, 6, Never-married, Handlers-cleaners, Other-relative, White, F, 0, 0, 10, El-Salvador, 0
51, Local-government, 107123, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, Black, F, 0, 0, 40, United-States, 0
38, Local-government, 478346, Masters, 9, Married-civ-spouse, Exec-managerial, Wife, White, M, 7688, 0, 40, United-States, 1
21, Local-government, 292264, Masters, 9, Never-married, Craft-repair, Not-in-family, White, F, 0, 0, 35, United-States, 0
58, Local-government, 255822, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 1
42, Local-government, 193995, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, F, 0, 0, 38, United-States, 0
27, Local-government, 177955, 5th-6th, 3, Never-married, Priv-house-serv, Other-relative, White, M, 2176, 0, 40, El-Salvador, 0
37, Private, 269300, Some-college, 10, Married-spouse-absent, Adm-clerical, Unmarried, Black, M, 0, 0, 27, United-States, 0
26, Local-government, 330263, Masters, 9, Separated, Other-service, Not-in-family, White, F, 0, 0, 40, United-States, 0
44, Federal-gov, 102238, Masters, 9, Divorced, Craft-repair, Unmarried, White, F, 0, 0, 40, United-States, 0
63, Self-emp-inc, 54052, Masters, 14, Married-civ-spouse, Sales, Husband, White, F, 0, 0, 68, United-States, 1
43, Local-government, 84661, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, F, 0, 0, 45, United-States, 0
33, Private, 119829, Masters, 9, Married-civ-spouse, Adm-clerical, Wife, White, M, 0, 0, 60, United-States, 0
51, Local-government, 95128, Masters, 9, Divorced, Craft-repair, Not-in-family, White, F, 0, 0, 40, United-States, 0
69, ?, 199591, Prof-school, 15, Married-civ-spouse, ?, Wife, White, M, 0, 0, 25, ?, 0
58, Local-government, 110213, Masters, 9, Widowed, Adm-clerical, Not-in-family, White, M, 0, 0, 40, United-States, 1
19, ?, 113915, Masters, 9, Never-married, ?, Own-child, Black, F, 0, 0, 10, United-States, 0
24, Local-government, 263498, 11th, 7, Never-married, Craft-repair, Not-in-family, White, F, 0, 0, 40, United-States, 0
47, Local-government, 280483, Masters, 9, Separated, Craft-repair, Unmarried, Black, M, 0, 0, 40, United-States, 0
44, Private, 387844, 12th, 8, Married-civ-spouse, Handlers-cleaners, Husband, White, F, 0, 0, 40, United-States, 0
46, Local-government, 243743, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 40, United-States, 1
29, Local-government, 351324, Bachelors, 13, Never-married, Sales, Own-child, White, M, 0, 0, 40, United-States, 0
40, Local-government, 111067, Bachelors, 13, Married-civ-spouse, Handlers-cleaners, Husband, White, F, 0, 0, 80, United-States, 1
25, Local-government, 64671, Masters, 9, Divorced, Handlers-cleaners, Own-child, Asian-Pac-Islander, M, 0, 0, 40, Philippines, 0
47, Local-government, 199058, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 40, United-States, 1
38, Self-emp-not-inc, 344480, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 4064, 0, 40, United-States, 0
54, Local-government, 146551, Masters, 9, Married-civ-spouse, Adm-clerical, Husband, White, F, 0, 0, 54, United-States, 1
44, Local-government, 277647, Masters, 9, Married-civ-spouse, Sales, Husband, White, F, 0, 1902, 40, United-States, 1
55, Local-government, 184882, Assoc-voc, 11, Married-civ-spouse, Transport-moving, Husband, White, F, 5178, 0, 50, United-States, 1
54, Local-government, 143865, Masters, 9, Divorced, Sales, Unmarried, White, M, 0, 0, 35, United-States, 0
20, Local-government, 290504, Masters, 9, Never-married, Other-service, Other-relative, White, F, 0, 0, 40, United-States, 0
43, Local-government, 125833, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, F, 0, 0, 40, Vietnam, 0
52, Private, 137753, Masters, 9, Married-civ-spouse, Other-service, Wife, Black, M, 0, 0, 20, United-States, 0
45, Local-government, 28035, Some-college, 10, Never-married, Farming-fishing, Other-relative, White, F, 0, 0, 50, United-States, 0
35, Local-government, 117166, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, F, 0, 0, 50, United-States, 0
60, Self-emp-inc, 210827, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, F, 7688, 0, 40, United-States, 1
34, Local-government, 56026, Masters, 9, Married-civ-spouse, Farming-fishing, Husband, White, F, 0, 0, 60, United-States, 1
43, Local-government, 112131, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 40, United-States, 0
34, Local-government, 394447, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, F, 2463, 0, 50, France, 0
32, Local-government, 185732, 11th, 7, Divorced, Other-service, Unmarried, White, M, 0, 0, 40, United-States, 0
46, Local-government, 83064, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, F, 0, 0, 40, United-States, 1
24, Local-government, 83141, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, F, 0, 0, 40, United-States, 0
65, Local-government, 113323, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, F, 3818, 0, 40, United-States, 0
29, Local-government, 276345, Masters, 9, Never-married, Prof-specialty, Not-in-family, White, M, 0, 0, 50, United-States, 0
24, Local-government, 283613, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 40, United-States, 0
18, Local-government, 57957, Masters, 9, Never-married, Sales, Own-child, White, M, 0, 0, 15, United-States, 0
22, State-gov, 264102, Some-college, 10, Never-married, Other-service, Other-relative, Black, F, 0, 0, 39, Haiti, 0
30, Local-government, 190511, Masters, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, F, 0, 0, 40, United-States, 1
40, Self-emp-not-inc, 167081, Masters, 14, Married-civ-spouse, Sales, Husband, White, F, 3103, 0, 50, United-States, 0
42, Private, 96524, Masters, 9, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 60, United-States, 1
55, Self-emp-not-inc, 271795, Masters, 9, Married-civ-spouse, Other-service, Husband, White, F, 0, 0, 40, United-States, 0
20, Local-government, 303565, Some-college, 10, Never-married, Handlers-cleaners, Own-child, Black, F, 0, 0, 40, Germany, 0
23, Local-government, 201682, Bachelors, 13, Married-civ-spouse, Adm-clerical, Other-relative, White, M, 0, 0, 40, United-States, 0
24, State-gov, 166851, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, F, 0, 0, 13, United-States, 0
19, State-gov, 378418, Masters, 9, Never-married, Tech-support, Own-child, White, M, 0, 0, 40, United-States, 0
43, Local-government, 135606, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, M, 0, 0, 50, United-States, 1
25, Local-government, 202091, Masters, 9, Never-married, Exec-managerial, Own-child, White, M, 0, 0, 40, United-States, 0
40, Local-government, 99434, Masters, 9, Married-civ-spouse, Other-service, Wife, White, M, 0, 0, 12, United-States, 0
32, Local-government, 176185, Some-college, 10, Divorced, Exec-managerial, Other-relative, White, F, 0, 0, 60, United-States, 0
37, Local-government, 227545, Some-college, 10, Married-civ-spouse, Sales, Husband, White, F, 0, 0, 44, United-States, 1
27, Local-government, 181659, Masters, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, F, 0, 0, 40, United-States, 0
41, Local-government, 107584, Masters, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, F, 0, 0, 40, United-States, 0
50, Private, 30682, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 50, United-States, 0
34, Local-government, 244064, Masters, 9, Never-married, Machine-op-inspct, Unmarried, Black, F, 0, 0, 40, United-States, 0
62, Local-government, 270092, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 40, United-States, 1
31, Local-government, 50276, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, F, 0, 0, 60, United-States, 0
21, Local-government, 122348, Some-college, 10, Never-married, Tech-support, Own-child, White, M, 0, 0, 35, United-States, 0
50, Local-government, 100109, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, F, 0, 0, 45, United-States, 1
24, Local-government, 211345, Some-college, 10, Never-married, Other-service, Own-child, White, M, 0, 0, 40, Mexico, 0
39, Private, 183620, Some-college, 10, Never-married, Protective-serv, Not-in-family, Black, M, 0, 0, 40, United-States, 1
61, Local-government, 280088, 7th-8th, 4, Divorced, Machine-op-inspct, Unmarried, White, M, 0, 0, 40, United-States, 0
40, Local-government, 182136, Masters, 9, Married-civ-spouse, Transport-moving, Husband, White, F, 0, 0, 40, United-States, 0
49, Local-government, 59380, Some-college, 10, Married-spouse-absent, Adm-clerical, Not-in-family, White, M, 0, 0, 40, United-States, 0
29, Local-government, 253814, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, M, 0, 0, 45, United-States, 0
21, Local-government, 184756, Some-college, 10, Never-married, Adm-clerical, Own-child, White, M, 0, 0, 16, United-States, 0
53, Local-government, 194995, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 45, Italy, 0
22, Local-government, 333158, Masters, 9, Never-married, Machine-op-inspct, Not-in-family, White, M, 0, 0, 48, United-States, 0
53, ?, 199665, Bachelors, 13, Married-civ-spouse, ?, Husband, White, F, 0, 0, 30, United-States, 1
30, Local-government, 100734, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, M, 0, 0, 40, United-States, 0
25, State-gov, 99076, Bachelors, 13, Never-married, Other-service, Not-in-family, White, M, 2597, 0, 50, United-States, 0
43, Local-government, 462180, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, F, 99999, 0, 60, United-States, 1
56, Local-government, 119859, Some-college, 10, Divorced, Transport-moving, Not-in-family, White, F, 0, 0, 40, United-States, 1
58, Local-government, 56331, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, F, 0, 0, 40, United-States, 0
55, Self-emp-not-inc, 111625, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 60, United-States, 0
51, Local-government, 200450, Masters, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, F, 0, 0, 48, United-States, 0
23, Local-government, 320294, Masters, 9, Never-married, Exec-managerial, Not-in-family, White, F, 0, 0, 40, United-States, 0
28, Local-government, 339372, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, F, 0, 1408, 40, United-States, 0
40, Self-emp-not-inc, 335549, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, F, 0, 2444, 45, United-States, 1
43, Self-emp-inc, 34218, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 40, United-States, 0
20, Local-government, 34590, Some-college, 10, Never-married, Farming-fishing, Own-child, White, F, 0, 0, 60, United-States, 0
56, Local-government, 199713, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
23, Local-government, 288771, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, M, 0, 0, 30, United-States, 0
21, Local-government, 237051, Some-college, 10, Never-married, Other-service, Own-child, White, M, 0, 0, 25, United-States, 0
36, Local-government, 245090, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, F, 3137, 0, 50, El-Salvador, 0
41, Local-government, 287037, Some-college, 10, Never-married, Farming-fishing, Not-in-family, White, F, 0, 0, 40, United-States, 0
21, Local-government, 276709, Some-college, 10, Never-married, Sales, Other-relative, White, M, 0, 0, 40, United-States, 0
25, Local-government, 276310, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, F, 0, 0, 40, Mexico, 0
44, Local-government, 222635, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Husband, Black, F, 0, 0, 40, United-States, 0
47, Private, 218596, Assoc-voc, 11, Divorced, Adm-clerical, Not-in-family, White, M, 0, 0, 40, United-States, 0
24, Local-government, 59146, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, M, 0, 0, 40, United-States, 0
31, ?, 86143, Masters, 9, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, F, 0, 0, 40, Philippines, 0
36, Local-government, 33983, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, F, 0, 0, 42, United-States, 1
36, Local-government, 246449, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 60, United-States, 1
60, State-gov, 165827, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 55, United-States, 0
61, Local-government, 199198, 7th-8th, 4, Widowed, Other-service, Not-in-family, Black, M, 0, 0, 21, United-States, 0
24, Self-emp-not-inc, 236769, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
39, Private, 239119, Masters, 14, Divorced, Prof-specialty, Not-in-family, Black, F, 0, 0, 40, Dominican-Republic, 0
38, Local-government, 173968, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 45, United-States, 0
35, State-gov, 211115, Some-college, 10, Never-married, Protective-serv, Not-in-family, Black, F, 0, 0, 40, United-States, 0
32, Self-emp-not-inc, 379412, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
32, Local-government, 198068, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
47, Local-government, 151267, Masters, 9, Married-civ-spouse, Machine-op-inspct, Wife, Black, M, 15024, 0, 40, United-States, 1
45, Self-emp-inc, 151584, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 35, United-States, 1
35, Local-government, 330664, Masters, 9, Divorced, Transport-moving, Not-in-family, White, F, 0, 0, 40, United-States, 0
40, Local-government, 225823, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, F, 0, 0, 60, United-States, 0
47, Federal-gov, 99549, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, M, 0, 0, 40, United-States, 0
30, Private, 131568, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 40, United-States, 1
32, Local-government, 193260, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, F, 0, 0, 40, Philippines, 0
39, Local-government, 358837, Some-college, 10, Never-married, Tech-support, Unmarried, Black, M, 0, 0, 40, United-States, 0
17, Local-government, 73145, 9th, 5, Never-married, Craft-repair, Own-child, White, M, 0, 0, 16, United-States, 0
36, Local-government, 398931, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 1485, 50, United-States, 1
52, Local-government, 110977, Doctorate, 16, Never-married, Exec-managerial, Not-in-family, White, F, 0, 0, 40, United-States, 1
50, Local-government, 400630, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 36, United-States, 1
54, ?, 135840, Some-college, 10, Married-civ-spouse, ?, Husband, White, F, 0, 0, 50, United-States, 0
27, Local-government, 305647, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Husband, White, F, 0, 0, 40, United-States, 1
27, Local-government, 191628, Masters, 9, Never-married, Transport-moving, Not-in-family, Black, F, 2174, 0, 40, United-States, 0
51, Private, 142411, Assoc-voc, 11, Divorced, Adm-clerical, Unmarried, White, M, 0, 0, 50, United-States, 0
33, Local-government, 355856, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, F, 0, 0, 60, United-States, 0
61, State-gov, 379885, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 1902, 40, United-States, 1
59, Self-emp-inc, 253062, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 55, United-States, 1
42, Local-government, 279914, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, F, 0, 0, 40, United-States, 1
52, Local-government, 180142, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, F, 0, 0, 45, United-States, 0
44, Self-emp-not-inc, 112507, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
54, Local-government, 217718, 5th-6th, 3, Married-spouse-absent, Other-service, Unmarried, Black, M, 0, 0, 30, Haiti, 0
48, ?, 174533, 11th, 7, Separated, ?, Unmarried, White, F, 0, 0, 40, United-States, 0
43, Local-government, 131435, Bachelors, 13, Divorced, Other-service, Not-in-family, White, M, 0, 0, 40, United-States, 0
18, Local-government, 283342, 11th, 7, Never-married, Other-service, Other-relative, Black, F, 0, 0, 20, United-States, 0
49, Local-government, 177211, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, F, 0, 0, 40, United-States, 0
42, State-gov, 148316, Assoc-voc, 11, Married-civ-spouse, Protective-serv, Husband, White, F, 0, 0, 40, United-States, 1
58, Local-government, 201393, Assoc-acdm, 12, Divorced, Adm-clerical, Not-in-family, White, F, 0, 1876, 40, United-States, 0
25, Local-government, 114483, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 50, United-States, 0
31, Local-government, 156493, Masters, 9, Never-married, Prof-specialty, Own-child, White, F, 0, 0, 40, United-States, 0
27, Local-government, 254500, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, M, 0, 0, 36, United-States, 0
32, Local-government, 237478, 11th, 7, Divorced, Machine-op-inspct, Unmarried, White, M, 0, 0, 40, United-States, 0
55, Local-government, 349910, Masters, 9, Married-civ-spouse, Farming-fishing, Husband, White, F, 0, 0, 45, United-States, 1
49, Local-government, 38563, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, M, 0, 0, 56, United-States, 1
19, Local-government, 270551, Masters, 9, Never-married, Other-service, Own-child, White, F, 0, 0, 20, United-States, 0
58, Local-government, 357788, Masters, 9, Married-civ-spouse, Craft-repair, Husband, Black, F, 0, 0, 40, United-States, 0
19, ?, 117201, Masters, 9, Never-married, ?, Own-child, White, F, 0, 0, 30, United-States, 0
45, Local-government, 118889, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
34, Federal-gov, 189944, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Black, M, 0, 0, 72, United-States, 0
45, State-gov, 154117, Masters, 9, Divorced, Exec-managerial, Unmarried, White, M, 0, 0, 38, United-States, 1
44, Local-government, 169397, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 1
34, Local-government, 34374, Some-college, 10, Never-married, Other-service, Not-in-family, White, F, 0, 0, 50, United-States, 0
57, Local-government, 316000, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
48, Local-government, 34186, Masters, 9, Married-civ-spouse, Farming-fishing, Husband, White, F, 0, 0, 70, United-States, 0
43, Self-emp-not-inc, 145441, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 30, United-States, 1
30, Local-government, 207253, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, England, 0
39, Local-government, 181705, Masters, 9, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 45, United-States, 0
40, Local-government, 154374, Masters, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, F, 0, 0, 40, United-States, 1
35, Local-government, 208165, Masters, 9, Divorced, Exec-managerial, Unmarried, White, M, 0, 0, 50, United-States, 0
18, Local-government, 109702, Some-college, 10, Never-married, Sales, Own-child, White, M, 0, 0, 30, United-States, 0
40, Local-government, 146520, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 40, United-States, 1
32, Local-government, 281540, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, F, 0, 0, 50, United-States, 0
55, State-gov, 199713, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 15, United-States, 0
18, Local-government, 35065, Masters, 9, Never-married, Transport-moving, Not-in-family, Black, F, 0, 0, 35, United-States, 0
19, State-gov, 127085, Some-college, 10, Never-married, Other-service, Own-child, White, F, 0, 0, 10, United-States, 0
23, Local-government, 129345, Some-college, 10, Never-married, Other-service, Not-in-family, White, F, 0, 0, 25, United-States, 0
29, Federal-gov, 33315, Assoc-acdm, 12, Divorced, Adm-clerical, Not-in-family, White, M, 0, 0, 40, United-States, 0
23, Local-government, 268525, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, F, 0, 0, 50, United-States, 0
23, Local-government, 315877, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, F, 0, 0, 30, United-States, 0
61, Local-government, 195595, 7th-8th, 4, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, F, 0, 0, 40, Guatemala, 0
24, Local-government, 237386, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, F, 0, 0, 42, United-States, 0
53, Local-government, 166368, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, F, 0, 0, 40, United-States, 0
33, Local-government, 62155, Some-college, 10, Never-married, Sales, Not-in-family, Black, F, 0, 0, 35, United-States, 0
53, State-gov, 246820, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 50, United-States, 1
22, Local-government, 79980, Some-college, 10, Never-married, Sales, Own-child, White, F, 0, 0, 25, United-States, 0
27, Local-government, 208725, Assoc-acdm, 12, Never-married, Sales, Not-in-family, White, F, 0, 0, 42, United-States, 0
19, Local-government, 181546, Some-college, 10, Never-married, Adm-clerical, Own-child, White, M, 0, 0, 40, United-States, 0
45, Local-government, 205100, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, F, 15024, 0, 60, United-States, 1
51, State-gov, 196504, Masters, 9, Divorced, Craft-repair, Unmarried, White, F, 0, 0, 38, United-States, 0
40, Self-emp-inc, 225165, Masters, 9, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 40, United-States, 0
56, State-gov, 143931, Bachelors, 13, Widowed, Prof-specialty, Not-in-family, White, M, 0, 0, 40, United-States, 0
29, Local-government, 48895, Masters, 9, Never-married, Craft-repair, Not-in-family, White, F, 0, 0, 50, United-States, 0
19, Local-government, 266255, Masters, 9, Never-married, Sales, Own-child, White, M, 0, 0, 40, United-States, 0
51, Local-government, 269080, 7th-8th, 4, Widowed, Other-service, Unmarried, Black, M, 0, 0, 40, United-States, 0
33, Local-government, 296453, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, F, 0, 0, 15, United-States, 0
32, Local-government, 121634, 10th, 6, Never-married, Machine-op-inspct, Own-child, White, F, 0, 0, 40, Mexico, 0
53, Self-emp-not-inc, 151159, 10th, 6, Married-spouse-absent, Transport-moving, Not-in-family, White, F, 0, 0, 99, United-States, 0
54, Local-government, 53407, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 0
53, Local-government, 266529, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 40, United-States, 1
45, Self-emp-not-inc, 242552, 12th, 8, Divorced, Craft-repair, Other-relative, Black, F, 0, 0, 35, United-States, 0
65, ?, 195733, Some-college, 10, Married-civ-spouse, ?, Husband, White, F, 0, 0, 30, United-States, 1
42, Federal-gov, 46366, Masters, 9, Separated, Adm-clerical, Unmarried, Black, M, 0, 0, 40, United-States, 0
48, Local-government, 266764, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 45, United-States, 1
23, Local-government, 180771, 1st-4th, 2, Married-civ-spouse, Machine-op-inspct, Wife, Amer-Indian-Eskimo, M, 0, 0, 35, Mexico, 0
