"Id",age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed"
53,41,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1
54,47,"technician","married","professional.course","unknown","no","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191
55,42,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1
56,43,"admin.","divorced","high.school","no","yes","no","cellular","apr","thu",2,999,1,"failure",-1.8,93.075,-47.1,1.435,5099.1
57,48,"technician","married","unknown","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
58,30,"blue-collar","married","professional.course","no","no","no","cellular","nov","wed",1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8
59,34,"blue-collar","married","basic.9y","unknown","yes","yes","telephone","may","fri",4,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1
60,27,"admin.","married","university.degree","no","yes","no","cellular","may","fri",4,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1
61,31,"technician","single","professional.course","no","yes","no","cellular","aug","mon",5,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1
62,42,"admin.","married","basic.4y","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191
63,24,"management","single","university.degree","no","yes","no","cellular","may","thu",4,999,1,"failure",-1.8,92.893,-46.2,1.27,5099.1
64,35,"technician","married","professional.course","no","no","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1
65,23,"blue-collar","single","unknown","unknown","no","no","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1
66,32,"admin.","single","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1
67,51,"blue-collar","divorced","unknown","unknown","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1
68,41,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1
69,52,"blue-collar","divorced","unknown","no","no","no","cellular","jul","tue",8,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1
70,46,"services","divorced","high.school","unknown","yes","no","cellular","apr","mon",2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1
71,37,"admin.","married","university.degree","unknown","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
72,78,"retired","divorced","basic.4y","no","yes","no","cellular","nov","thu",1,3,1,"success",-3.4,92.649,-30.1,0.714,5017.5
73,33,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1
74,31,"blue-collar","single","basic.9y","no","yes","no","cellular","may","tue",8,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1
75,38,"services","married","basic.9y","no","no","no","cellular","jun","fri",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.224,5076.2
76,59,"self-employed","married","university.degree","no","yes","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1
77,44,"management","single","university.degree","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8
78,47,"admin.","married","high.school","no","yes","no","cellular","apr","wed",2,999,1,"failure",-1.8,93.075,-47.1,1.415,5099.1
79,34,"admin.","single","university.degree","no","no","no","cellular","jun","mon",1,999,1,"failure",-2.9,92.963,-40.8,1.266,5076.2
80,39,"technician","married","university.degree","unknown","no","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1
81,28,"services","married","high.school","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
82,36,"technician","married","high.school","no","no","no","telephone","jun","fri",4,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1
83,34,"technician","single","university.degree","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1
84,30,"blue-collar","married","high.school","no","yes","yes","cellular","nov","thu",2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8
85,74,"retired","married","university.degree","no","yes","yes","cellular","aug","wed",3,999,0,"nonexistent",-2.9,92.201,-31.4,0.854,5076.2
86,36,"management","single","university.degree","no","yes","no","cellular","jun","wed",2,3,1,"success",-2.9,92.963,-40.8,1.26,5076.2
87,25,"admin.","single","high.school","unknown","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1
88,33,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1
89,34,"services","married","high.school","no","yes","yes","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191
90,50,"self-employed","married","basic.4y","unknown","no","no","telephone","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1
91,31,"admin.","single","university.degree","no","no","no","cellular","apr","thu",16,999,0,"nonexistent",-1.8,93.075,-47.1,1.406,5099.1
92,31,"student","single","unknown","unknown","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1
93,36,"services","married","high.school","no","no","no","cellular","jul","wed",3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1
94,37,"admin.","single","university.degree","no","no","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1
95,30,"blue-collar","single","unknown","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
96,36,"services","married","high.school","no","no","yes","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
97,25,"services","single","high.school","no","yes","no","telephone","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1
98,25,"services","single","high.school","no","no","yes","telephone","jul","thu",2,8,4,"success",-1.7,94.215,-40.3,0.81,4991.6
99,55,"unknown","married","basic.4y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
100,44,"entrepreneur","married","high.school","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
101,62,"retired","married","university.degree","unknown","no","no","cellular","oct","fri",2,999,0,"nonexistent",-3.4,92.431,-26.9,0.739,5017.5
102,30,"technician","single","high.school","no","yes","no","telephone","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1
103,44,"services","married","high.school","unknown","no","no","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8
104,54,"management","married","university.degree","no","no","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1
105,53,"technician","divorced","university.degree","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
106,61,"retired","married","professional.course","no","unknown","unknown","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1
107,59,"management","married","unknown","no","yes","no","cellular","sep","thu",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.778,5017.5
108,25,"services","single","high.school","no","no","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1
109,45,"management","married","university.degree","unknown","no","yes","telephone","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1
110,38,"admin.","divorced","professional.course","no","no","no","cellular","aug","thu",2,999,0,"nonexistent",-2.9,92.201,-31.4,0.851,5076.2
111,27,"blue-collar","single","basic.9y","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1
112,52,"management","married","university.degree","no","unknown","unknown","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8
113,43,"management","single","university.degree","unknown","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
114,60,"retired","married","basic.4y","no","yes","no","cellular","oct","mon",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.739,5017.5
115,58,"unemployed","divorced","basic.9y","no","yes","no","telephone","oct","wed",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.724,5017.5
116,29,"blue-collar","married","basic.9y","no","no","no","telephone","may","wed",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
117,31,"admin.","married","high.school","no","yes","no","cellular","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1
118,38,"self-employed","married","professional.course","no","no","no","cellular","nov","thu",1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8
119,32,"admin.","divorced","basic.9y","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1
120,44,"admin.","married","high.school","no","yes","no","telephone","may","mon",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
121,34,"admin.","divorced","professional.course","no","yes","yes","cellular","may","tue",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1
122,27,"services","single","high.school","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191
123,35,"unknown","married","basic.9y","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191
124,57,"entrepreneur","single","university.degree","no","yes","yes","cellular","apr","mon",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1
125,53,"entrepreneur","married","basic.6y","no","yes","no","telephone","nov","fri",6,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8
126,33,"services","married","professional.course","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1
127,35,"services","married","basic.6y","no","no","no","telephone","may","mon",6,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
128,40,"self-employed","married","university.degree","no","no","yes","cellular","dec","mon",1,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5
129,26,"self-employed","married","university.degree","no","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
130,33,"blue-collar","single","basic.9y","unknown","no","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1
131,41,"self-employed","married","university.degree","no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1
132,34,"admin.","married","high.school","no","no","yes","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1
133,61,"blue-collar","married","high.school","no","no","no","cellular","oct","wed",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.724,5017.5
134,34,"self-employed","married","university.degree","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1
135,34,"blue-collar","single","basic.9y","no","yes","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1
136,39,"technician","married","university.degree","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191
137,57,"technician","married","professional.course","unknown","yes","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
138,30,"technician","single","university.degree","no","no","no","telephone","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
139,36,"technician","single","university.degree","no","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1
140,36,"blue-collar","married","high.school","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.955,5228.1
141,43,"blue-collar","married","high.school","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1
142,41,"technician","divorced","university.degree","no","no","no","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.215,5076.2
143,42,"admin.","single","university.degree","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191
144,29,"blue-collar","single","basic.6y","no","yes","yes","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1
145,36,"blue-collar","married","basic.9y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1
146,56,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","thu",1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8
147,28,"admin.","single","university.degree","no","no","no","cellular","oct","thu",1,17,1,"success",-1.1,94.601,-49.5,0.965,4963.6
148,37,"management","married","university.degree","no","no","yes","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1
149,69,"blue-collar","married","unknown","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2
150,51,"admin.","divorced","university.degree","unknown","no","no","cellular","aug","fri",6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1
151,53,"admin.","divorced","university.degree","no","no","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1
152,29,"admin.","single","university.degree","no","no","yes","telephone","may","tue",9,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
153,45,"technician","married","high.school","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8
154,50,"blue-collar","married","basic.4y","unknown","no","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1
155,47,"management","married","university.degree","no","yes","yes","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1
156,45,"housemaid","married","professional.course","unknown","yes","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1
157,29,"entrepreneur","single","university.degree","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1
158,32,"management","single","university.degree","no","no","no","cellular","jun","tue",4,999,0,"nonexistent",-1.7,94.055,-39.8,0.761,4991.6
159,49,"technician","married","professional.course","unknown","yes","no","telephone","may","tue",9,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191
160,48,"unemployed","married","professional.course","unknown","yes","yes","telephone","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8
161,23,"unemployed","married","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",-1.8,93.876,-40,0.699,5008.7
162,41,"technician","married","university.degree","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1
163,33,"management","married","university.degree","no","no","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1
164,70,"retired","married","high.school","no","yes","no","cellular","sep","fri",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.741,5017.5
165,57,"retired","single","professional.course","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1
166,49,"blue-collar","married","basic.6y","no","no","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1
167,35,"blue-collar","married","unknown","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
168,54,"retired","married","basic.9y","no","no","yes","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
169,54,"management","divorced","university.degree","no","yes","no","cellular","may","wed",2,12,1,"success",-1.8,92.893,-46.2,1.334,5099.1
170,36,"technician","single","university.degree","no","yes","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1
171,33,"management","married","university.degree","unknown","yes","yes","cellular","apr","tue",8,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1
172,35,"admin.","married","university.degree","no","yes","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1
173,39,"blue-collar","single","basic.9y","unknown","yes","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1
174,37,"management","married","university.degree","no","yes","yes","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8
175,21,"admin.","single","basic.9y","no","yes","yes","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191
176,35,"technician","single","professional.course","no","yes","yes","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1
177,57,"blue-collar","married","basic.9y","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1
178,56,"services","married","basic.4y","unknown","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1
179,34,"management","married","university.degree","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191
180,28,"technician","single","university.degree","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1
181,27,"student","single","high.school","no","no","yes","cellular","jul","wed",2,999,1,"failure",-2.9,92.469,-33.6,1.029,5076.2
182,41,"technician","married","university.degree","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1
183,45,"blue-collar","married","basic.6y","unknown","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1
184,37,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",2,1,1,"success",-1.8,92.893,-46.2,1.27,5099.1
185,51,"blue-collar","married","basic.4y","unknown","no","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8
186,56,"management","married","university.degree","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1
187,33,"blue-collar","married","high.school","no","yes","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1
188,57,"management","married","university.degree","no","yes","no","cellular","aug","tue",1,5,2,"failure",-2.9,92.201,-31.4,0.883,5076.2
189,51,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","wed",9,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1
190,59,"management","married","university.degree","unknown","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1
191,35,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
192,42,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191
193,53,"self-employed","married","basic.9y","no","yes","yes","cellular","aug","fri",7,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1
194,27,"admin.","single","university.degree","no","yes","no","cellular","may","mon",2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1
195,54,"blue-collar","married","basic.4y","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1
196,32,"admin.","divorced","university.degree","no","no","no","cellular","aug","tue",6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1
197,28,"blue-collar","married","basic.6y","unknown","yes","no","telephone","jun","mon",5,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1
198,25,"admin.","single","high.school","no","no","no","cellular","jul","wed",4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1
199,31,"technician","single","professional.course","no","no","no","telephone","jun","tue",5,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1
200,31,"admin.","married","university.degree","unknown","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191
201,26,"admin.","single","high.school","no","no","yes","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191
202,31,"services","single","university.degree","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1
203,50,"admin.","married","unknown","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.479,5099.1
204,34,"services","married","high.school","no","yes","no","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1
205,23,"management","single","university.degree","no","yes","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1
